textid	text	daily_dose	dose_number	dose_unit	dose_frequency	dose_interval	choice_of_dose	dose_max_average	change_dose	dose_duration
24563	"1 ML IMMEDIATELY"	1	1	"ML"	1	1	0	0	0	1
24564	"INHALE ONE OR TWO DOSES TWICE DAILY"	3	1.5	""	2	1	1	2	0	0
24565	"INHALE 2 DOSES 4 TIMES/DAY AS REQUIRED"	8	2	""	4	1	2	0	0	0
24566	"AB21."	0	21	""	1	0	0	0	0	0
24567	"1OR2 THREE TIMES A DAY"	4.5	1.5	""	3	1	1	2	0	0
24568	"MDA"	0	0	""	0	0	0	0	0	0
24569	"THREE TABS THREE TIMES A DAY"	9	3	"TAB"	3	1	0	0	0	0
24570	"1 IMMEDIATELY AND 1 AFTER 12 HOURS"	1	1	""	1	1	0	0	0	1
24571	"PAA BD MDU"	0	0	""	0	0	0	0	0	0
24572	"2 PUFFS TWICE A DAY MAXIMUM 4 PUFFS TWICE A DAY"	4	2	"PUFF"	2	1	0	2	0	0
24573	"2 PUFFS DAILY: QUANTITY PRESCRIBED (NON-NUMERIC)=1 X OP:"	2	2	"PUFF"	1	1	0	0	0	0
24574	"INHALE ONE DOSE FOUR TIMES A DAY"	4	1	""	4	1	0	0	0	0
24575	"1 OR 2 4 TIMES A DAY"	6	1.5	""	4	1	1	2	0	0
24576	"TWO TDS TAKE AS NEEDED"	6	2	""	3	1	2	0	0	0
24577	"SIZE 8"	0	8	""	1	0	0	0	0	0
24578	"TWO 5ML SPNS TWICE A DAY"	20	10	"ML"	2	1	0	0	0	0
24579	"1BD DISPENSE WEEKLY"	2	1	""	2	1	0	0	0	7
24580	"8PLY"	0	8	""	1	0	0	0	0	0
24581	"ONE AT 9 OCLOCK  ONE AT 4 OCLOCK  REGULARLY  TO TRY TO PREVENT ANGINA"	0	1	""	1	0	0	0	0	0
24582	"TAKE TWO TABLET(S) 3 TIMES/DAY"	6	2	"TAB"	3	1	0	0	0	0
24583	"1 IN THE MORNING AND 2 IN THE EVENING"	3	1	""	3	1	0	0	0	0
24584	"1 OR 2 TO BE TAKEN DAILY"	1.5	1.5	""	1	1	1	2	0	0
24585	"~~~~"	0	0	""	0	0	0	0	0	0
24586	"ONE SPRAY DAILY TO EACH NOSTRIL"	2	1	"SPRAY"	1	1	0	0	0	0
24587	"USE UP TO THREE TIMES A DAY"	3	0	""	3	1	0	0	0	0
24588	"TAKE TWO 3 TIMES/DAY FOR DIABETES"	6	2	""	3	1	0	0	0	0
24589	"I TABLET(S) AT NIGHT"	1	1	"TAB"	1	1	0	0	0	0
24590	"PUT ONE DROP IN THE AFFECTED EYE(S) EVERY 2 HOURS  REDUCING TO 4 TIMES A DAY AS IMPROVES. CONTINUE FOR 48 HOURS AFTER INFECTION HAS CLEARED"	4	1	"DROPS"	1	0.25	0	0	2	2
24591	"TAKE ONE 3 TIMES A DAY N"	3	1	""	3	1	0	0	0	0
24592	"TO BE INHALED WHEN REQUIRED AS DIRECTED"	0	0	""	0	0	2	0	0	0
24593	"2 TAB OM"	2	2	"TAB"	1	1	0	0	0	0
24594	"1 TABLET 2 OR 3 TIMES DAILY AFTER FOOD WHEN NEEDED"	2.5	1	"TAB"	2.5	1	2	2	0	0
24595	"AS DUR"	0	0	""	0	0	0	0	0	0
24596	"1-2 TABLETS QDS PRN"	6	1.5	"TAB"	4	1	2	2	0	0
24597	"H26"	0	0	""	0	0	0	0	0	0
24598	"TAKE TWO EACH MORNING AND ONE AT 2PM"	3	2	""	1.5	1	0	0	0	0
24599	"TAKE ONE TABLET(S) DAILY FOR CHOLESTEROL"	1	1	"TAB"	1	1	0	0	0	0
24600	"ONE AT ONSET REPEAT AFTER TWO HOURS IF NECESSARY. MAXIMUM SIX TABLETS IN 24 HOURS"	6	6	"TAB"	1	1	2	1	0	0
24601	"ONE TABLET(S) DAILY AFTER FOOD"	1	1	"TAB"	1	1	0	0	0	0
24602	"ONE DROP AS NEEDED TO LUBRICATE EYELIDS (THIS IS SAME AS VISCOTEARS)"	0	1	"DROPS"	1	0	2	0	0	0
24603	"APPLY TO SKIN 1-3 TIMES DAILY."	2	0	""	2	1	1	2	0	0
24604	"2 IMMEDIATELY THEN 1 AFTER EACH LOOSE STOOL (MAX 4/DAY)"	4	4	""	1	1	0	1	0	0
24605	"1MANE 2NOCT"	3	1	""	3	1	0	0	0	0
24606	"1-2 PUFFS UP TO FOUR TIMES A DAY"	6	1.5	"PUFF"	4	1	1	1	0	0
24607	"1-2 TABS THREE TIMES DAILY"	4.5	1.5	"TAB"	3	1	1	2	0	0
24608	"APPLY ONE DROP TO THE EYE(S) EACH EVENENING"	0	1	"DROPS"	1	0	0	0	0	0
24609	"ONE DOSE TO BE INHALED DAILY"	1	1	""	1	1	0	0	0	0
24610	"1 THREE TIMES A DAY 1 HOUR BEFORE FOOD  AFTER FOOD  OR WITH MEALS."	3	1	""	3	1	0	0	0	0
24611	"TAKE 1 OR 2 4 TIMES /DAY WHEN REQUIRED"	6	1.5	""	4	1	2	2	0	0
24612	"APPLY TO SKIN TWICE DAILY"	2	0	""	2	1	0	0	0	0
24613	"1 DROP TO BE APPLIED TO BOTH EYES EVERY NIGHT"	2	1	"DROPS"	1	1	0	0	0	0
24614	"1 EVERY DAY OR TWICE A DAY AFTER FOOD"	1.5	1	""	1.5	1	0	2	0	0
24615	"TAKE 1 DAILY FOR 1 WEEK  THEN 2 DAILY"	2	2	""	1	1	0	0	2	0
24616	"TAKE ONE FOUR TIMES ADAY"	4	1	""	4	1	0	0	0	0
24617	"TWICE A DAY GENEROUSLY"	2	0	""	2	1	0	0	0	0
24618	"5ML.  THREE TIMES A DAY  AT LEAST HALF AN HOUR BEFORE FOOD  UNTIL ENTIRE COURSE OF THIS PENICILLIN ANTI-BIOTIC HAS GONE"	15	5	"ML"	3	1	0	0	0	0
24619	"1 AS DIRECTED WHEN REQUIRED FOR MIGRAINE"	0	1	""	1	0	2	0	0	0
24620	"INSERT INTO VAGINA"	0	0	""	0	0	0	0	0	0
24621	"10MLPC+ON"	40	10	"ML"	4	1	0	0	0	0
24622	"2 FOUR TIMES A DAY WHEN REQUIRED FOR JOINT PAINS"	8	2	""	4	1	2	0	0	0
24623	"ONE TO TWO EVERY FOUR TO SIX HOUR"	7.2	1.5	""	1	0.2083333	1	2	0	0
24624	"'UP TO TWO FOUR TIMES A DAY FOR PAIN"	8	2	""	4	1	0	0	0	0
24625	"I OR II QDS PRN"	6	1.5	""	4	1	2	2	0	0
24626	"ONE OR TWO 5ML SPOONFULS 4-6 HOURLY UPTO A MAXIMUM FOUR TIMES A DAY"	20	0	"ML"	1	0.25	1	1	0	0
24627	"TAKE ONE EACH MORNING (REVIEW  WHEN DUE FOR THIS PRESCRIPTION  OUGHT TO BE WITH THE PRACTICE NURSE)"	1	1	""	1	1	0	0	0	0
24628	"TAKE ONE TWICE DAILY[ADVICE]WEEKLY DISPENSING"	2.142857	1	""	2.142857	1	0	0	0	0
24629	"1 EVERY DAY TO REDUCE FREQUENCY OF HEADACHES"	1	1	""	1	1	0	0	0	0
24630	"SIX TIMES 200MLS"	0	1200	"ML"	1	0	0	0	0	0
24631	"3 DROPS THREE TIMES A DAY TO RIGHT EAR"	9	3	"DROPS"	3	1	0	0	0	0
24632	"TAKE ONE AT NIGHT (REVIEW  WHEN DUE FOR THIS PRESCRIPTION  OUGHT TO BE WITH THE PRACTICE NURSE)"	1	1	""	1	1	0	0	0	0
24633	"10 MLS IN THE MORNING"	10	10	"ML"	1	1	0	0	0	0
24634	"3 ML TWICE A DAY"	6	3	"ML"	2	1	0	0	0	0
24635	"DISPENSED FROM STOCK EXP 4.04"	0	0	""	0	0	0	0	0	0
24636	"ONE THREE TIMES A DAY AFTER FOOD WITH WATER"	3	1	""	3	1	0	0	0	0
24637	"AS DIRECTED BY EYE HOSPITAL"	0	0	""	0	0	0	0	0	0
24638	"1 DAILY FOR DEPRESSION OR ANXIETY"	1	1	""	1	1	0	0	0	0
24639	"TAKE TWO FOUR TIMES A DAY FOR PAIN"	8	2	""	4	1	0	0	0	0
24640	"5MLS MANE"	5	5	"ML"	1	1	0	0	0	0
24641	"1IM"	0	1	""	1	0	0	0	0	0
24642	"1 AMPOULE 3 TIMES PER WEEK FOR 2 WEEKS THEN EVERY 3 MONTHS"	1.111111E-02	1	"AMP"	1	90	0	0	2	0
24643	"125MGQDS"	500	125	"MG"	4	1	0	0	0	0
24644	"TAKE ONE TBL BD"	2	0	""	2	1	0	0	0	0
24645	"2 PUFFS WHEN REQUIRED IF ASTHMA POORLY CONTROLLED AND SEE NURSE IF USING MORE THAN 3 TIMES A WEEK"	0.8571429	2	"PUFF"	3	7	2	0	0	0
24646	"TWICE A DAY/AS DIRECTED"	2	0	""	2	1	0	0	0	0
24647	"1 TWICE A DAY IN BLISTER PACK"	2	1	""	2	1	0	0	0	0
24648	"ONE 5ML SPOONFUL TO BE TAKEN THREE TIMES DAILY IF REQUIRED"	15	5	"ML"	3	1	2	0	0	0
24649	"ID"	0	0	""	0	0	0	0	0	0
24650	"HALF PER DAY"	0.5	0.5	""	1	1	0	0	0	0
24651	"1 AND HALF NOCTE"	1.5	1.5	""	1	1	0	0	0	0
24652	"ONE TABLET DAILY AT NIGHT"	1	1	"TAB"	1	1	0	0	0	0
24653	"FOR DIABETIC GLUCOSE CONTROL AS GUIDED BY YOUR NURSE DOCTOR OR GLUCOSE MONITORING"	0	0	""	0	0	0	0	0	0
24654	"TAKE ONE EACH MORNING FOR LEG OEDEMA"	1	1	""	1	1	0	0	0	0
24655	"1BD 2ON"	4	1	""	4	1	0	0	0	0
24656	"ONE MORNING TWO EVENING"	3	1	""	3	1	0	0	0	0
24657	"1 TWICE A DAY TO INCREASE IRON IN BLOOD"	2	1	""	2	1	0	0	0	0
24658	"ONE OR TWO SACHETS DAILY FOR RELIEF/PREVENTION OF CONSTIPATION"	1.5	1.5	"SACHET"	1	1	1	2	0	0
24659	"ONE-TWO PUFFS UP TO 3-4 TIMES DAILY."	5.25	1.5	"PUFF"	3.5	1	1	1	0	0
24660	"TWO TO BE TAKEN AT TIME THREE TIMES A DAY"	6	2	""	3	1	0	0	0	0
24661	"TAKE ONE AT 4PM"	1	1	""	1	1	0	0	0	0
24662	"ONLY ONE CAPSULE REQUIRED FOR TREATMENT"	0	1	"CAP"	1	0	0	0	0	0
24663	"1-2 PUFFS OD-BD @NB TURBOHALER"	2.25	1.5	"PUFF"	1.5	1	1	2	0	0
24664	"1 TABLET(S) TWICE A DAY FOR 3 DAYS"	2	1	"TAB"	2	1	0	0	0	3
24665	"AT NIGHT SPARINGLY"	1	0	""	1	1	0	0	0	0
24666	"ONE DOSE TO BE INSTILLED TWICE A DAY INTO EYES"	2	1	""	2	1	0	0	0	0
24667	"APPLY BD AS DIRECTED"	2	0	""	2	1	0	0	0	0
24668	"1 AS NEEDED SLS"	0	1	""	1	0	2	0	0	0
24669	"1 NOCTE WITH FOOD"	1	1	""	1	1	0	0	0	0
24670	"ONE TABLET EVERY MORNING FOR THE HEART"	1	1	"TAB"	1	1	0	0	0	0
24671	"ONE TABLET(S) ONCE A DAY"	1	1	"TAB"	1	1	0	0	0	0
24672	"1 OR 2 SACHETS DAILY FOR CONSTIPATION"	1.5	1.5	"SACHET"	1	1	1	2	0	0
24673	"INHALE 2 DOSES AS NEEDED (NORTON)"	0	0	""	0	0	2	0	0	0
24674	"ENZIRA - BATCH -~~~~~ GIVEN FROM STOCK"	0	0	""	0	0	0	0	0	0
24675	"TAKE ONE TAB 3 TIMES DAILY"	3	1	"TAB"	3	1	0	0	0	0
24676	"1DAILY WHEN REQUIRED"	1	1	""	1	1	2	0	0	0
24677	"TAKE ONE DAILY AT 6 PM"	1	1	""	1	1	0	0	0	0
24678	"ONE EVERY MORNING TWO AT MIDDAY"	3	1	""	3	1	0	0	0	0
24679	"TAKE ONE 8HRLY WHEN REQUIRED"	3	1	""	1	0.3333333	2	0	0	0
24680	"TAKE TWO TABS EVERY DAY"	2	2	"TAB"	1	1	0	0	0	0
24681	"1MLS FOUR TIMES A DAY AS DIRECTED"	4	1	"ML"	4	1	0	0	0	0
24682	"2 EVERY NIGHT DISPENSE WEEKLY"	2	2	""	1	1	0	0	0	7
24683	"1 OR 2 THREE TIMES A DAY AFTER FOOD AND EVERY NIGHT WHEN REQUIRED"	4.5	1.5	""	3	1	2	2	0	0
24684	"QUANTITY=1 X O.P."	0	0	""	0	0	0	0	0	0
24685	"TAKE TWO TABLETS WEEKLY"	0.2857143	2	"TAB"	1	7	0	0	0	0
24686	"1 TO 2 TABS FOUR TIMES A DAY WHEN REQUIRED"	6	1.5	"TAB"	4	1	2	2	0	0
24687	"2 EVERY MORNING FOR DIABETES"	2	2	""	1	1	0	0	0	0
24688	"1MG EVERY 3 MONTHS"	1.111111E-02	1	"MG"	1	90	0	0	0	0
24689	"ONE EACH DAY AS PER INSTRUCTIONS"	1	1	""	1	1	0	0	0	0
24690	"1 BD FOR PAIN"	2	1	""	2	1	0	0	0	0
24691	"UP TO TWO FOUR TIMES A DAY EVERY DAY"	8	2	""	4	1	0	1	0	0
24692	"1 DROP EVERY NIGHT TO BOTH EYES"	2	1	"DROPS"	1	1	0	0	0	0
24693	"4X5ML SPOON 4 TIMES/DAY WHEN REQUIRED"	80	20	"ML"	4	1	2	0	0	0
24694	"TWO 5-ML SPOONSFUL AFTER FOOD AND EVERY NIGHT"	8	2	""	4	1	0	0	0	0
24695	"10ML SOS"	0	10	"ML"	1	0	0	0	0	0
24696	"TAKE ONE AT NIGHT FOR FOR PAIN"	1	1	""	1	1	0	0	0	0
24697	"6 TABLETS EVERY DAY FOR 5 DAYS"	6	6	"TAB"	1	1	0	0	0	5
24698	"HALF A TABLET ALTERNATE DAYS"	0.25	0.5	"TAB"	1	2	0	0	0	0
24699	"TO BE APPLIED TWICE A DAY FOR 2 WEEKS"	2	0	""	2	1	0	0	0	14
24700	"OD AS DIRECTED"	1	0	""	1	1	0	0	0	0
24701	"2-3 DROPS IN THE AFFECTED EAR 3-4 TIMES DAILY"	8.75	2.5	"DROPS"	3.5	1	1	2	0	0
24702	"15ML TWICE A DAY ADJUSTED AS REQUIRED"	30	15	"ML"	2	1	2	0	0	0
24703	"TAKE ONE TABLET(S) AT NIGHT WHEN REQUIRED FOR INSOMNIA ; SHORT TERM USE ONLY"	1	1	"TAB"	1	1	2	0	0	0
24704	"10-20 MLS WHEN REQUIRED FOUR TIMES A DAY FOR HEARTBURN"	60	15	"ML"	4	1	2	1	0	0
24705	"ONE TABLET EACH MORNING FOR ALLERGIES AND HAY FEVER"	1	1	"TAB"	1	1	0	0	0	0
24706	"TAKE ONE OR TWO UP TO FOUR TIMES/DAY"	6	1.5	""	4	1	1	1	0	0
24707	"TAKE 6 WEEKLY"	0.8571429	6	""	1	7	0	0	0	0
24708	"5ML 4-6HRLY"	24	5	"ML"	1	0.2083333	1	2	0	0
24709	"ONE AT NIGHT TIME"	1	1	""	1	1	0	0	0	0
24710	":[2OP]"	0	0	""	0	0	0	0	0	0
24711	"TAKE ONE DAILY FOR A WEEK THEN 2 DAILY"	2	2	""	1	1	0	0	2	0
24712	"TAKE ONE AS NEEDED UP TO TWICE DAILY"	2	1	""	2	1	2	1	0	0
24713	"1 TWICE A DAY WITH MEALS OR AFTER FOOD"	2	1	""	2	1	0	0	0	0
24714	"TAKE 1/DAY"	1	1	""	1	1	0	0	0	0
24715	"DROPS 1 FOUR TIMES A DAY WHEN REQUIRED"	4	1	""	4	1	2	0	0	0
24716	"ONE DAILY AFTER MEALS"	1	1	""	1	1	0	0	0	0
24717	"EVERY NIGHT PRN"	1	0	""	1	1	2	0	0	0
24718	"RINSE MOUTH WITH 10ML. TWICE A DAY FOR ABOUT 1 MINUTE."	20	10	"ML"	2	1	0	0	0	0
24719	"LOT ~~~~~~ MFR ~~.~~"	0	0	""	0	0	0	0	0	0
24720	"1 DAILY TO REDUCE STOMACH ACID OR TITRATE DOWN TO THE LOWEST DOSE THAT CONTROLS SYMPTOMS"	1	1	""	1	1	0	0	0	0
24721	"TWICE A DAY-FOR DIABETES"	2	0	""	2	1	0	0	0	0
24722	"ONE TO BE TAKEN AT THE SAME TIME EACH DAY WITHOUT A BREAK. IF YOU ARE MORE THAN THREE HOURS LATE IN REMEMBERING TO TAKE YOUR PILL PLEASE SEEK FURTHER MEDICAL ADVICE"	1	1	""	1	1	0	0	0	0
24723	"TO BE APPLIED SPARINGLY EVERY FOUR HOURS"	6	0	""	1	0.1666667	0	0	0	0
24724	"AS DIR6"	0	0	""	0	0	0	0	0	0
24725	"ONE HALF EVERY NIGHT"	1	1	""	1	1	0	0	0	0
24726	"TAKE 5ML AT NIGHT"	5	5	"ML"	1	1	0	0	0	0
24727	"UP TO 5 DAILY"	5	5	""	1	1	0	1	0	0
24728	"TAKE ONE 3X/DAILY"	3	1	""	3	1	0	0	0	0
24729	"2-4PUFF BD"	6	3	"PUFF"	2	1	1	2	0	0
24730	"TAKE TWO TABLET(S) 6HRLY WHEN REQUIRED FOR FOR FOR PAIN OR PYREXIA"	8	2	"TAB"	1	0.25	2	0	0	0
24731	"ONE SPRAY EVERY 4 HRS"	6	1	"SPRAY"	1	0.1666667	0	0	0	0
24732	"1 OR 2 TABLETS UPTO FOUR TIMES A DAY WHEN REQUIRED PAIN"	6	1.5	"TAB"	4	1	2	1	0	0
24733	"ONE A DAY FOR INDIGESTION AND ACID COMPLETE THE COURSE"	1	1	""	1	1	0	0	0	0
24734	"0.5ON"	0.5	0.5	""	1	1	0	0	0	0
24735	"APPLY TWICE DAILY  INCREASED IF NECESSARY TO FOUR TIMES A DAY"	4	0	""	4	1	2	1	2	0
24736	"APPLY TO EACH EYE FOUR TIMES PER DAY"	8	0	""	4	1	0	0	0	0
24737	"1 EVERY MORNING. THIS IS A DIURETIC AND WILL MAKE YOU PASS MORE URINE FOR A FEW HOURS AFTER YOU TAKE THE TABLET[S]."	1	1	""	1	1	0	0	0	0
24738	"ONE EVERY DAY TO SHRINK PROSTATE GLAND"	1	1	""	1	1	0	0	0	0
24739	"TDSD"	3	0	""	3	1	0	0	0	0
24740	"TAKE TWO TWICE A DAY TAKE REG COMPLETE COURSE"	4	2	""	2	1	0	0	0	0
24741	"1 IMMEDIATELY 1 IN 12 HOURS"	1	1	""	1	1	0	0	1	1
24742	"FOUR 5ML SPOONFULS TO BE TAKEN TWICE A DAY"	40	20	"ML"	2	1	0	0	0	0
24743	"TAKE ONE 3 TIMES A DAY AS REQUIRED"	3	1	""	3	1	2	0	0	0
24744	"5 IMMEDIATELY"	5	5	""	1	1	0	0	0	1
24745	"WHEN REQUIRED AS MOISTURISER"	0	0	""	0	0	2	0	0	0
24746	"(DILTIAZEM) 1 TWICE A DAY"	2	1	""	2	1	0	0	0	0
24747	"2 DAILY. THYROID REPLACEMENT. ANNUAL BLOOD TEST REQUIRED"	2	2	""	1	1	0	0	0	0
24748	"FIT VOLUMAT"	0	0	""	0	0	0	0	0	0
24749	"1 MANE HALF NOCTE"	1.5	1	""	1.5	1	0	0	0	0
24750	"TAKE ONE OR TWO AT BEDTIME"	1.5	1.5	""	1	1	1	2	0	0
24751	"USE ONE EVERY 72 HOURS"	0.3333333	0	""	1	3	0	0	0	0
24752	"1 TWICE A DAY :[56 CAPS]"	2	1	"CAP"	2	1	0	0	0	0
24753	"1-2 TABS 4HRLY WHEN REQUIRED"	9	1.5	"TAB"	1	0.1666667	2	2	0	0
24754	"1 NOCTE AS DIRECTED"	1	1	""	1	1	0	0	0	0
24755	"TAKE ONE AT NIGHT ##DO LFTS EVERY SIX MONTHS##"	5.555556E-03	1	""	1	180	0	0	0	0
24756	"1 PUFF TO BE INHALED TWICE A DAY"	2	1	"PUFF"	2	1	0	0	0	0
24757	"TAKE 2 TABLETS AT NIGHT WHEN REQUIRED"	2	2	"TAB"	1	1	2	0	0	0
24758	"ONE TAB IN THE MORNING TO HELP HEART PUMP MORE EFFICIENTLY. [WATER TABLET]"	1	1	"TAB"	1	1	0	0	0	0
24759	"ONE  TWICE A DAY. TAKE REGULARLY. ANTI-DEPRESSANT  NOT ADDICTIVE  NOT A TRANQUILLIZER. MAY CAUSE DRY MOUTH  OCCASIONAL DROWSINESS"	2	1	""	2	1	0	0	0	0
24760	"1 TO 4 PUFFS FOUR TIMES A DAY WHEN REQUIRED TO RELIEVE BREATHELESSNESS"	10	2.5	"PUFF"	4	1	2	2	0	0
24761	"TWO TABLETS DAILY AS DIRECTED"	2	2	"TAB"	1	1	0	0	0	0
24762	"TWO FOUR TIMES A DAY WHEN REQUIRED INSTEAD OF PARACETAMOL"	10	2	""	5	1	2	0	0	0
24763	"CLASS2"	0	2	""	1	0	0	0	0	0
24764	"TAKE 2 EVERY 6 HOURS"	8	2	""	1	0.25	0	0	0	0
24765	"INHALE ONE DOSE 1-2 TIMES/DAY"	1.5	1	""	1.5	1	1	2	0	0
24766	"1 TO 2 CAPS 3 TO 4 TIMES DAILY AS REQUIRED (UPTO 8 CAPS MAX DAILY)"	1	0	"CAP"	1	1	2	1	0	0
24767	"USE AS DIRECTED DAILY"	1	0	""	1	1	0	0	0	0
24768	"TO BE APPLIED THREE TIMES A DAY WHEN REQUIRED SPARINGLY"	3	0	""	3	1	2	0	0	0
24769	"1.25ML TWICE A DAY"	2.5	1.25	"ML"	2	1	0	0	0	0
24770	"26HRLY"	0	0	""	0	0	0	0	0	0
24771	"AFTER BATH"	0	0	""	0	0	0	0	0	0
24772	"TAKE AS DIRECTED IN YOUR YELLOW ANTI-COAGULANT BOOK"	0	0	""	0	0	0	0	0	0
24773	"INSERT PER VAGINA EVERY NIGHT"	1	0	""	1	1	0	0	0	0
24774	"APPLT TWICE A DAY"	2	0	""	2	1	0	0	0	0
24775	"2.5ML FOUR TIMES A DAY WHEN REQUIRED ( ALCOHOL FREE)"	10	2.5	"ML"	4	1	2	0	0	0
24776	"USE AS REQUIRED TO MONITOR BLOOD SUGAR LEVELS."	0	0	""	0	0	2	0	0	0
24777	"USE AS PREVIOUSLY"	0	0	""	0	0	0	0	0	0
24778	"ONE EVERY DAY WITH BREAKFAST"	1	1	""	1	1	0	0	0	0
24779	"1 NEBULE 4 TIMES DAILY"	4	1	""	4	1	0	0	0	0
24780	"15ML TWICE A DAY OR AS DIRECTED. FOR CONSTIPATION"	30	15	"ML"	2	1	0	0	0	0
24781	"1 THREE TIMES A DAY :"	3	1	""	3	1	0	0	0	0
24782	"1.5 TABS AT NIGHT"	1.5	1.5	"TAB"	1	1	0	0	0	0
24783	"TAKE 1 OR 2 UP TO FOUR TIMES DAILY"	6	1.5	""	4	1	1	1	0	0
24784	"2 TWICE A DAY :[30 DAYS]"	4	2	""	2	1	0	0	0	0
24785	"ONE DROP TO LEFT EYE EVERY NIGHT"	1	1	"DROPS"	1	1	0	0	0	0
24786	"10-20MLS UP TO FOUR TIMES A DAY WHEN REQUIRED"	60	15	"ML"	4	1	2	1	0	0
24787	"TAKE ONE AT NIGHT (DOSETTE)"	1	1	""	1	1	0	0	0	0
24788	"TAKE ONE TABLET(S) TWICE A DAY ; 8AM AND 4PM ; FOR ANGINA"	2	1	"TAB"	2	1	0	0	0	0
24789	"2 5ML TWICE A DAY"	20	10	"ML"	2	1	0	0	0	0
24790	"2PFFS PRN"	0	2	""	1	0	2	0	0	0
24791	"1-2 FOUR TIMES A DAY WHEN REQUIRED SPARINGLY"	6	1.5	""	4	1	2	2	0	0
24792	"TO PUT IN THE BATH WATER. FOR DRY SKIN"	0	0	""	0	0	0	0	0	0
24793	"200MG TAB BD  7 DAYS"	400	200	"MG"	2	1	0	0	0	0
24794	"500 FOUR TIMES A DAY"	2000	500	""	4	1	0	0	0	0
24795	"1 FOR FUNGAL INFECTION"	0	1	""	1	0	0	0	0	0
24796	"ONE DAILY IN MORNING"	1	1	""	1	1	0	0	0	0
24797	"10-20MLDAIL"	15	15	"ML"	1	1	1	2	0	0
24798	"TAKE ONE DAILY AFTER MAI"	1	1	""	1	1	0	0	0	0
24799	"EIGHT TABLETS DAILY FOR FIVE DAYS"	8	8	"TAB"	1	1	0	0	0	5
24800	"2 IMMEDIATELY  THEN 1 WHEN REQUIRED  MAX 8 IN 24 HOURS"	8	8	""	1	1	2	1	0	0
24801	"10MLS TWICE A DAY"	20	10	"ML"	2	1	0	0	0	0
24802	"1-2 TABS QID FOR FOR PAIN"	6	1.5	"TAB"	4	1	1	2	0	0
24803	"OD 8AM"	1	1	""	1	1	0	0	0	0
24804	"APPLY ONCE A DAY AS DIRECTED"	1	0	""	1	1	0	0	0	0
24805	"TAKE ONE NOCTE PRN"	1	1	""	1	1	2	0	0	0
24806	"TAKE ONE DAILY FOR HEART CONDITION"	1	1	""	1	1	0	0	0	0
24807	"TO BE USED WITH THE INHALER AS DIRECTED"	0	0	""	0	0	0	0	0	0
24808	"TWO EVERY DAY FOR DEPRESSION"	2	2	""	1	1	0	0	0	0
24809	"TAKE TWO AT NIGHT 1 MANE"	3	2	""	1.5	1	0	0	0	0
24810	"THREE TABS TWICE DAILY"	6	3	"TAB"	2	1	0	0	0	0
24811	"TAKE 1 DAILY DISPENSE WEEKLY"	1	1	""	1	1	0	0	0	7
24812	"2 TWICE A DAY (FOR DIABETES)"	4	2	""	2	1	0	0	0	0
24813	"1 AT 8AM AND 1 AT 2PM"	2	1	""	2	1	0	0	0	0
24814	"2 EVERY MORNING AND 2 EVERY EVENING"	4	2	""	2	1	0	0	0	0
24815	"TAKE ONE WHEN REQUIRED THREE TIMES A DAY"	3	1	""	3	1	2	1	0	0
24816	"ONE DROP EVERY DAY TO RIGHT EYE"	1	1	"DROPS"	1	1	0	0	0	0
24817	"ONE THREE TIMES A DAY AT MEAL TIMES"	3	1	""	3	1	0	0	0	0
24818	"1MANE 2 AT NIGHT"	3	1	""	3	1	0	0	0	0
24819	"TAKE ONE ONCE DAILY. BLOOD PRESSURE"	1	1	""	1	1	0	0	0	0
24820	"ONE TWICE A DAY AS DIRECTED BY HOSPITAL"	2	1	""	2	1	0	0	0	0
24821	"15MG"	0	15	"MG"	1	0	0	0	0	0
24822	"1 B. D"	2	1	""	2	1	0	0	0	0
24823	"TAKE ONE ONCE DAILY FOR GASTROOESPHAGEAL REFLUX"	1	1	""	1	1	0	0	0	0
24824	"TO 2 FOUR TIMES A DAY WHEN REQUIRED"	8	2	""	4	1	2	1	0	0
24825	"ONE 5MLS SPOON  EVERY 12 HRS"	10	5	"ML"	1	0.5	0	0	0	0
24826	"ONE TABLET THREE TIMES A DAY WITH MEALS FOR DIABETES"	3	1	"TAB"	3	1	0	0	0	0
24827	"TWO AT TEATIME"	2	2	""	1	1	0	0	0	0
24828	"APPLY AS NEEDED TO MOISTURISE SKIN"	0	0	""	0	0	2	0	0	0
24829	"10X12CM"	0	120	""	1	0	0	0	0	0
24830	"2 TO 3 AT NIGHT"	2.5	2.5	""	1	1	1	2	0	0
24831	"1-2 8HRLY"	4.5	1.5	""	1	0.3333333	1	2	0	0
24832	"( ADALAT LA) TAKE ONE TABLET EVERY MORNING"	1	1	"TAB"	1	1	0	0	0	0
24833	"500MG CAP TID  5 DAYS"	1500	500	"MG"	3	1	0	0	0	0
24834	"TIMES SIX DAILY"	36	6	""	6	1	0	0	0	0
24835	"ONE TO TWO PUFFS TWICE DAILY"	3	1.5	"PUFF"	2	1	1	2	0	0
24836	"2 OD PRN"	2	2	""	1	1	2	0	0	0
24837	"APPLY 3 TIMES/DAY 7 DAYS"	3	0	""	3	1	0	0	0	0
24838	"1DAILY IN WATER"	1	1	""	1	1	0	0	0	0
24839	"UP TO ONE TABLET EVERY FOUR HOURS WHEN REQUIRED FOR FOR PAIN"	6	1	"TAB"	1	0.1666667	2	1	0	0
